0,1,2
1203,-4.1816001139398855,33.367830753326416
2406,-3.3515577639859293,61.95356202125549
3609,-93.1267853072606,90.29042434692383
4812,-75.82313796609424,119.04486513137817
6015,-95.76883143532046,147.79479336738586
7218,-35.647591625491586,176.5998935699463
8421,-4.956474464095454,205.48148727416992
9624,-19.893747332859935,234.35843896865845
10827,-24.90130142946346,282.33201694488525
12030,-27.44449038934969,312.1849412918091
13233,-27.957537414232814,341.54505443573
14436,-20.131087872317956,370.7648642063141
15639,-4.194894628701834,399.9673728942871
16842,-7.8159516109835625,429.24779748916626
18045,-21.03616415013198,458.5167112350464
19248,-7.725661567954003,487.94279193878174
20451,-6.8183180210245835,517.236038684845
21654,-10.340951024768708,546.2721500396729
22857,0.46638381512087507,575.8927512168884
24060,-19.99068862299367,605.4200472831726
25263,-3.583480734333031,634.7320721149445
26466,4.567659755056713,664.4017791748047
27669,-12.41401374727959,693.9610557556152
28872,-27.27683950566991,723.6042218208313
30075,-32.96727538187882,753.2636070251465
31278,-10.576570735640958,782.9016194343567
32481,-2.008458119152827,812.6927111148834
33684,-5.486089456744137,842.4327046871185
34887,-9.67050965648202,872.4374742507935
36090,-4.638089179803235,902.9674303531647
37293,-4.662627113376708,933.0332963466644
38496,6.120042435177398,963.5671150684357
39699,-12.107492930488412,993.6826984882355
