0,1,2
1503,-146.2257007941547,33.21505546569824
3006,-85.82298205959597,52.67476844787598
4509,-80.76101757205412,75.88912677764893
6012,-48.17524378362163,98.56761288642883
7515,-36.646714600083335,123.75446939468384
9018,94.38276366884006,146.2384512424469
